id,reason,itemId,lotNumber,qty,uom,fromLocation,toLocationId,occurredAt,createdAt,goodsReceiptId,prodOrderId,orderId,shipmentId
sm_0015,consumption,item_pk_bottle_330,PKB-2509-01,-2000,unit,PK/MAIN,PROD/LINE1,2025-09-21T08:50:00Z,2025-09-21T08:50:00Z,,PO-2509-001,,
sm_0016,consumption,item_pk_cap_26,PKC-2509-01,-2000,unit,PK/MAIN,PROD/LINE1,2025-09-21T08:52:00Z,2025-09-21T08:52:00Z,,PO-2509-001,,
sm_0017,consumption,item_pk_label_fg,PKL-2509-01,-2000,unit,PK/MAIN,PROD/LINE1,2025-09-21T08:54:00Z,2025-09-21T08:54:00Z,,PO-2509-001,,
sm_0018,production_output,item_fg_sb_margarita,SB-MARG-2509-01,2000,unit,,FG/MAIN,2025-09-21T09:30:00Z,2025-09-21T09:30:00Z,,PO-2509-001,,
sm_0019,consumption,item_rm_tequila_blend,LTQ-2509-01,-450,L,RM/MAIN,PROD/LINE1,2025-09-22T09:10:00Z,2025-09-22T09:10:00Z,,PO-2509-002,,
sm_0020,consumption,item_rm_lime,LLIM-2509-01,-45,L,RM/MAIN,PROD/LINE1,2025-09-22T09:12:00Z,2025-09-22T09:12:00Z,,PO-2509-002,,
sm_0021,consumption,item_rm_agave,LAGV-2509-02,-30,kg,RM/MAIN,PROD/LINE1,2025-09-22T09:14:00Z,2025-09-22T09:14:00Z,,PO-2509-002,,
sm_0022,consumption,item_rm_sugar,LSUG-2509-01,-30,kg,RM/MAIN,PROD/LINE1,2025-09-22T09:16:00Z,2025-09-22T09:16:00Z,,PO-2509-002,,
sm_0023,consumption,item_rm_co2,LCO2-2509-01,-1.5,kg,RM/MAIN,PROD/LINE1,2025-09-22T09:18:00Z,2025-09-22T09:18:00Z,,PO-2509-002,,
sm_0024,consumption,item_pk_bottle_330,PKB-2509-01,-1500,unit,PK/MAIN,PROD/LINE1,2025-09-22T09:20:00Z,2025-09-22T09:20:00Z,,PO-2509-002,,
sm_0025,consumption,item_pk_cap_26,PKC-2509-01,-1500,unit,PK/MAIN,PROD/LINE1,2025-09-22T09:22:00Z,2025-09-22T09:22:00Z,,PO-2509-002,,
sm_0026,consumption,item_pk_label_fg,PKL-2509-01,-1500,unit,PK/MAIN,PROD/LINE1,2025-09-22T09:24:00Z,2025-09-22T09:24:00Z,,PO-2509-002,,
sm_0027,production_output,item_fg_sb_paloma,SB-PAL-2509-01,1500,unit,,FG/MAIN,2025-09-22T10:00:00Z,2025-09-22T10:00:00Z,,PO-2509-002,,
sm_0028,reservation,item_fg_sb_margarita,SB-MARG-2509-01,-300,unit,FG/MAIN,ALLOC/ORDER-0001,2025-09-23T10:00:00Z,2025-09-23T10:00:00Z,,,ORDER-0001,
sm_0029,transfer,item_fg_sb_paloma,SB-PAL-2509-01,-200,unit,FG/MAIN,FG/OVERFLOW,2025-09-23T12:00:00Z,2025-09-23T12:00:00Z,,,,
sm_0030,shipment,item_fg_sb_margarita,SB-MARG-2509-01,-300,unit,ALLOC/ORDER-0001,DOCK/OUT,2025-09-24T09:00:00Z,2025-09-24T09:00:00Z,,,ORDER-0001,SHIP-0001
